,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,LSTM1,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time,DEPTH
56,56,[],7,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.020721351,0.083637476,0.056348739,8710,5042,1965.24,1
57,57,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",7,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.020694256,0.085416693,0.057641904,8497,5029,1860.6,1
58,58,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019382477,0.082680352,0.055583048,8490,5022,1956.67,1
59,59,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019407232,0.0810883,0.054481722,8468,5022,2011.99,1
60,60,[],3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008806396,0.047971244,0.031678993,9149,5070,453.72,1
61,61,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008698544,0.04770731,0.031543253,8944,5061,477.47,1
62,62,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.007832559,0.045820098,0.029926938,8937,5058,456.89,1
63,63,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.007716879,0.045875155,0.029923865,8919,5058,480.72,1
64,64,[],3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.008929118,0.047474407,0.031303011,9149,5070,811.43,1
65,65,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.009126709,0.049229187,0.032608029,8944,5061,851.66,1
66,66,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,100,0.2,relu,Adam,0.007792174,0.046188351,0.030187141,8937,5058,809.16,1
